,App name,Version,Review,Description,Not available anymore,Category,Paid app,Non English,Not MSM social media dating app ,Not for NZ users,None Target MSM,Unnamed: 11,Unnamed: 12
246,Getmale Gay dating - Meet gays,1.5.0,3888.0,The premier dating app for gay men.<br/><br/>Getmale is a dating site for gays and bisexual men. Download the app and start meeting guys:<br/>- Communicate with cute guys through a private message system ... <br/>- ... get real-time notifications when people visit your profile contact you or flash on your picture ... <br/>- ... sort filter and pick the profiles you are interested in with advanced search functions ... <br/>- ... get to know them better: personality interests hobbies ... <br/>- ... and spend quality time with other men!<br/><br/>This app is designed to be the best one available on Android phones and tablets. It is available to males in english-speaking countries (US Canada UK...) from London to San Francisco.,,Social,,,,,y,gay,
249,GINTER - GAY VIDEO CHAT,.1.0.2,297.0,GINTER - GAY video chat app makes meeting new guys fun and easy.<br/>Swipe discover flirt and video chat with guys from around the world.<br/>Features:<br/>- IT'S FREE <br/>- EASY TO USE just swipe and matching with random  guys<br/>- Private video chat with guys from around the world<br/>- Amazing beautiful video filters<br/>- Filter by location<br/>- Find new guys nearby<br/>- Discover the world ( across 70 countries)<br/>Enjoy GINTER - Discovery new guys and have better experience with new friends.<br/><br/>Homepage: http://ginter.co<br/>Contact us: info@ginter.co<br/>Like us on facebook:,,Social,,,,,y,gay,
250,Girl Zone - Lesbian Dating App & Female Friendship,1.0.2,370.0,Girl Zone is a free lesbian dating app where you can meet women for lesbian dates lesbian chat lesbian hookups find your soul mate or just to find friends!  <br/><br/>If you’re looking for cute lesbian women to date this is the place for you. It’s a safe place for all LGBTQ+ women from around the world to meet hangout and find their dream lesbian lover. Girl Zone welcomes all women no matter who you are: queers bisexuals or any sexual orientation. Join us now!<br/><br/>Do you want to date lesbian women or just want to find friends in the LGBTQ+ women's community? Are you dreaming of finding a soul mate and becoming a lesbian couple with a cute lesbian woman? Find your lesbian date on Girl Zone or find female friendships and support from queers and LGBTQ women from around the world. <br/><br/>=== FEATURES OF GIRL ZONE – LESBIAN DATING APP & FEMALE FRIENDSHIPS: ===<br/><br/>💕 SEARCH PARTNERS NEARBY – find friends or cute lesbian women in your area for lesbian love. You can also extend the search radius to get more possible matches. Press the Discover match and get matched with girls around you. You can control the distance of your matches from the Setting tab. <br/>💕 LESBIAN CHAT – Converse with Girl Zone members to get to know them better. Will she become your lesbian lover or just a lesbian hookup? Go to the Conversations Tab to see all of your communications including text messages and missed calls.<br/>💕 STATISTIC. We provide a statistic of total likes visits dislikes. You can also press Matches and view who you are matching with. <br/>💕 COMPLETE YOUR PROFILE: Help other members get to know you. Upload your profile photos and include your own biography school or university and your occupation. <br/>💕 SWIPE LEFT/ RIGHT: Swipe right to like someone & swipe left to reject them.<br/>💕 REPORT/ BLOCK: Girl zone is a safe place for all LGBTQ women from all sexual orientations whether you are gay lesbian or bisexual. Block or report any abusive or innapropriate user. <br/>💕 SIMPLE SIGN UP: sign up with your phone number Facebook or Google. <br/>💕 MULTI LANGUAGE SUPPORT: Girl Zone enables you to date lesbians from around the world and therefore we support major languages from various countries.<br/> <br/>Want to have an even better experience to find lesbian lover lesbian hookups or find friends? Become one of our VIP Members. By being a VIP Member you are one step closer to finding your soul mate and becoming part of a lesbian couple. <br/><br/>VIP Benefits:<br/><br/>⚢ VERIFIED USER BADGE: let potential partners know that you are real and genuine by verifying your identity with us! <br/>⚢ LESBIAN CHAT – talk to women from around the world with video chat or voice calls.<br/>⚢ PASSPORT – you can virtually travel around the world and city to meet and date lesbian women there. <br/>⚢ IMAGE GALLERY – at Girl Zone you can add more than 1 picture of yourself on your profile gallery to help your admirers to get to know you better.<br/>⚢ VIEW VISITORS – view people who visit your profile and see who likes you.<br/>⚢ SEE PEOPLE YOU’VE REJECTED – have you ever swiped the wrong way and rejected someone by mistake? Now you can go back and review who you’ve rejected. <br/><br/>So what are you waiting for? Whether you are a lesbian woman queer bisexual or just interested in forging female friendships download the free Girl Zone lesbian dating app now!<br/><br/>**Important Note** All of the Girl Zone profiles are scrutinised by our team. Any profile photos depicting sex acts or nudity are strictly prohibited and will be promptly removed. Girl Zone lesbian dating app is for lesbian gay bisexual trans queer (LGBTQ+) WOMEN ONLY and we encourage our users to report or block any fraudulent profiles.<br/><br/>Please send your comments or feedback to:<br/>support@girlzone.app<br/><br/>Lesbian dating has never been so much fun! - Download the Girl Zone Lesbian Dating & Female Friendship App now!,,Dating,,,,,n,lesbian,
251,GKiss: Gay Dating & Chat,1.1,858.0,GKiss is the best gay dating and hookup app. Exclusively designed for gay and bisexual men GKiss provides everything you need to connect with like-minded matches from near and far.<br/><br/>Unlike other gay dating apps GKiss is the first swipe-type gay chat & hookup app. It's the most vibrant community that is created to be mobile friendly for your easier connection anywhere. Amazing and effective features of GKiss include:<br/><br/>Spark - Anonymously swipe right to like a user or swipe left to pass<br/>Message - Send / receive unlimited messages to / from your interested users chat with others free<br/>Moments - Share your status photos and memorable moments<br/>Profile - Edit your own profile or browse other gay's profiles<br/>And much more...<br/><br/>Either you are looking for gay dating gay hookup or other types of relationships or simply to chat with other gay or bisexual people GKiss has it all! It will never fail to satisfy all your needs with its ever-growing user base and popularity.,,Dating,,,,,y,gay,
253,GLXY - a 100 % FREE Gay Chat & Dating App,1.2,7.0,GLXY is a 100 % free LGBT social app. You can meet cute guys and girls from your own neighborhood or engage in interesting LGBT debates with people from all over the world. Meet news friends interact with other people in the world’s friendliest online LGBT community.<br/><br/>★ 100 % FREE: Other apps may claim that they’re free but to use certain features or not to be spammed with ads every 30 seconds they require you to pay. GLXY is 100 % free. We don’t offer in-app purchases or ads.<br/><br/>★ YOUNG: We are an app aimed at young people. While our competitor’s average user age is 40+ GLXY average user age is 197 making us the youngest LGBT app in the world. Even the people working with GLXY on a daily basis are young. The average age of our staff members is 234.<br/><br/>★ Safe and anonymous: We genuinely care about your privacy. Create an anonymous account today and delete it at any time.,,Dating,,,,,y,,
254,God is Gay,1.3.3,84.0,The most local gay and lesbian dating app in the world.<br/><br/>LQBTQ chat + local gay bars and clubs everywhere you are in the world.<br/><br/>God is Gay offers 1 month  3 months 6 months and 1 year subscription for its premium package:<br/>• 1-month subscription automatically monthly<br/>• 3-months subscription automatically renewed each 3 months<br/>• 6-months subscription automatically renewed each 6 months<br/>• 1-year subscription automatically renewed yearly<br/>- lifetime subscription charged only once<br/><br/>Your subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period. Your Google Play account will automatically be charged at the same price for renewal within 24-hours prior to the end of the current period (another year for annual subscribers another month for monthly subscribers) unless you change your subscription preferences in your account settings. You can manage your subscriptions through your Account Settings after purchase. <br/><br/>Privacy policy: https://theboilingroom.com/privacy.html<br/>Terms of use: https://theboilingroom.com/terms.html<br/><br/><br/>CONTACT:<br/>To send us comments or suggestions please use the contact page on our website: https://theboilingroom.com/contact.html,,Social,,,,,y,gay,
255,Grindr - Gay chat,7.10.0,540123.0,Grindr is the world’s #1 FREE mobile social networking app for gay bi trans and queer people to connect. Chat and meet up with interesting people for free or upgrade to Grindr XTRA for more features more fun and more chances to connect.<br/><br/>Grindr is faster and better than ever:<br/><br/>• NEW – Assemble your crew with Group Chat!<br/>• See people nearby based on your location<br/>• Browse re-designed profiles with bigger photos<br/>• Chat and share private photos<br/>• Filter your search to find what you want<br/>• Customize your profile to share more about yourself<br/>• Star your favorites and block others<br/>• Report people easily and safely<br/>• Send your location and make it easier to meet<br/>• More ways to quickly find what you're looking for<br/>• More ways to chat with people around the world<br/><br/>Create and personalize your profile now to include more about you what you’re looking for and more. Within minutes you’ll be ready to connect chat and meet.<br/><br/>Looking for even more? Upgrade your Grindr experience to XTRA for more features more freedom and more fun. Grindr XTRA subscription features include:<br/><br/>• No 3rd party ads<br/>• See 6x the profiles up to 600 at once<br/>• View only people who are online now<br/>• View only profiles with a photo<br/>• More blocks and favorites<br/>• Access to all premium filters<br/>• Chat easily with saved phrases<br/>• Send multiple photos at once<br/><br/>Grindr has someone for everyone. No matter what you’re looking for you can find it here!<br/><br/>Tell us what you think about Grindr by visiting<br/>http://help.grindr.com/anonymous_requests/new<br/><br/>If you are experiencing any issues you can get support by contacting us through https://help.grindr.com/hc/<br/><br/>Terms of Service: http://www.grindr.com/terms-of-service/<br/>Privacy Policy: http://www.grindr.com/privacy-policy/<br/><br/>Grindr and Grindr XTRA are for adults 18 years and older only. Photos depicting nudity or sex acts are strictly prohibited.<br/><br/>Facebook: @grindr<br/>Twitter: @grindr<br/>Instagram: @grindr<br/>Snapchat: zerofeetaway,,Social,,,,,y,gay,
256,Grizzly - Gay Dating and Chat,1.3.2,20463.0,Tired of hunting GUYS? We are very proud to present to you Grizzly Gay Men App the hottest gay dating app ever made! Express your feelings through your finger tip! Get ready to find your Leonard & Larry or your Rick and Drew in your own Bear City! Get a chance to meet new friends groups and partners in the LGBT community!<br/><br/>Don’t let love find you it may take ages. Download Grizzly Gay Men Dating App Now and find your love instantly! Create an account using your email or log in using your Facebook account and you’re in. But if you are really into dating make sure to complete your profile information before starting your search. Write something about yourself describe what you are looking for and set your relationship status even your body built to create a perfect match!<br/><br/>Upload your sexiest photos in your profile and start finding your true love! You can upload photos publicly and privately and share it to your match. Filter your search to your preference and guaranteed that you will find your perfect guy. Specify the age and the location and we will display all the bears that will match your preference. Find your match nearby or across the globe start chatting immediately.<br/><br/>Chat online; share your hobbies passion and goals. Send your photos and videos in chat! Find your Cub Otter Chub Ursula Panda or your Polar Bear Name it! We all have it here in Grizzly Gay Men App! <br/><br/>Whether you are in San Francisco Portland Oregon or Austin Texas we can easily find a perfect match for you. This trendiest gay dating app is free simple convenient and ideal for building friendships and meeting your perfect man.,,Social,,,,,y,gay,
257,GROWLr: Gay Bears Near You,16.1.2,42394.0,The only app for Bears and Bear Chasers!<br/><br/>More Bears in More Places...we are a global community with over 10000000 members worldwide. GROWLr allows you to meet other Bears from around the world or around the corner.  GROWLr is free fast reliable and easy to use.<br/><br/>A Bear is a gay man who belongs to a very inclusive part of the gay community. Some are hairy some are muscular and some are heavy-set and some are none of those things. Being a bear is about being yourself - we are all amazing no matter how we are labeled.<br/><br/>Bear Chasers are the men who love Bears – and if you’re a Chaser you’ve come to the right place! More Bears in More Places.<br/><br/>It’s the perfect way to meet guys and make friends whether you are sitting at home or traveling abroad. Send and receive private instant messages live video calls pictures and video.<br/><br/>We also have an amazing Event section with complete and up-to-date Bear Run and Bear Bar listings. Tons of Galleries Check-in features Notes and More.<br/><br/>GROWLr allows only males 18 years or older. Photos depicting nudity or sex acts are strictly prohibited.<br/><br/>Visit us on Facebook:<br/>http://www.facebook.com/growlrapp<br/><br/>Or on the web:<br/>http://www.growlrapp.com,,Social,,,,,y,gay,
258,Gsland - Gay Dating & Chat & Match,1.4.3,597.0,Gsland is a social paradise for gay with many unique features:<br/><br/>+ Group Match: Besides 1-to-1 match our match engine can also find you a group of people who are all interested in each other. Group Match give you more possibilities for friendship dating and relationship.<br/><br/>+ Date Now: Want to date now? Date Now Mode helps you locate users with the same need efficiently and privately. Date Now Radar will also notify you when there are nearby matched guys looking for a date.<br/><br/>+ Exchange: Exchange information with others efficiently privately and fairly. You don't have to ask same questions every time you meet a new guy.<br/><br/>+ Relationship forms: Not everyone is made for monogamy. Users can now set acceptable relationship forms in the profile. It becomes easier to filter and find users who matched your preference.<br/><br/>+ Powerful filters: Gsland has a powerful and rich set of user filters. For example you can use the BMI filter to filter users based on body shape. It covers the shortage of height and weight filters.<br/><br/>+ Useful Note: You can write personal notes for others and search notes by keywords. You can also sort by score or distance. This helps you find people in different situations easier.<br/><br/>In addition Gsland has following features:<br/><br/>+ Unlimited browse. More guys more opportunities.<br/>+ Up to 10 profile photos.<br/>+ Control privacy for individual profile items.<br/>+ Search user profiles using keywords.<br/>+ Unlock specific private profile attributes or photos to others.<br/>+ Unlimited blocks.<br/>+ Explore other locations and interact with the locals.<br/>+ See who visited your profile.<br/>+ View your statistical data.<br/>+ With more achievements you level up and gain gifts.<br/>+ Receive notifications for various events.<br/>+ Group chat.<br/>+ Retract message.<br/><br/>Pro version has following advanced features:<br/><br/>+ Stealth Mode<br/>+ Keep Visible<br/>+ Set your location. Let guys at other place see you.<br/>+ See if message was read.<br/>+ Up to 30 profile photos.<br/>+ Detailed information in push notification.<br/>+ Select notification types to receive.<br/>+ Use unlimited number of user filters.<br/>+ Longer Date Now Radar range.<br/>+ Send Date Now Invitation directly.<br/>+ Date Now Mode valid time increased.<br/>+ Date Now Mode waiting time decreased.<br/><br/>Gsland is developed and operated by gay and we hope to meet needs in our community as much as possible. Your precious opinion is always welcome and you can send it by the Feedback function in the app. Thank you.<br/><br/>Gsland is for guys aged 18 and over. Uploading pornography or sexually explicit content is prohibited.<br/><br/>Terms of Service: https://gsland.app/tos.html<br/>Privacy Policy: https://gsland.app/privacy.html,,Social,,,,,y,gay,
259,GTing-Gay Dating,1.033,893.0,Gay dating app used by 100000 users since 2016.<br/>Introduces you 3 gays everyday!! <br/><br/>Today’s Ting:<br/>- Introduces you three gay partners everyday.<br/><br/>Profile:<br/>- Can check profile picture keywords and dating Yes or No.<br/>- Can Chat with the user you like.<br/><br/>Chats:<br/>- Can check chats you’ve received by others.<br/><br/><br/>How to use:<br/>1.Fill up every profiles and pass the examination.<br/>2.Get 3 gays introduced everyday from Today’s Ting.<br/>3.Chat any Gay you like.,,Social,,,,,y,gay,
261,Guydi,2.0.1,33.0,We built Guydi to be the ultimate social Gay app for the Gay Community. It's built from the ground up to turn travel communication and day to day activities into a fabulous experience within the community. This is not your grandpa's Gay dating app. It's so much more.<br/><br/>✔ World is YOUR oyster<br/>Here's the rundown for how it all works: Our community members can get to know each other visit new and exciting places do exciting new things and generally make the world their oyster... <br/><br/>✔ Guide your WAY<br/>Also go get oysters. Want help getting from point A to point B (from breakfast to the gym am I right?) Guydi can do that. Looking for a personal guide of the city? Perhaps someone to go to the gym with? Guydi's here to help. Naturally it's also good for clubbing and naughty stuff if you insist. Staying at hotel and need a ride Guydi (why pay for hotels?) start it with Guydi. Who knows where the night will end? It's great when you need to find a bed for the night.<br/><br/>✔ It's FREE<br/>Download the app and choose if you want to be cute fun or naughty. You just tell us what you feel like doing and when we'll get you set up with the rest.<br/><br/>✔ Look around YOU<br/>All Guydi members around you will be at your service (up to 20 miles from you) check out who is around you and get to chatting with the ones you fancy the most.<br/><br/>✔ Not Just another GAY dating APP<br/>As we said Guydi is so much more than a simple gay dating app. Guydi is your personal Guide to fun and excitement!<br/><br/>✔ Special features:<br/>- Find similar minded people for fun activities wherever you are<br/>- See people nearby based on your location<br/>- Get more responses by expanding your range<br/>- Choose the activity you want to connect through<br/>- Chat and share photos privately<br/>- Filter your search to find what you want<br/>- Customize your profile to make it yours<br/>- Star your favorites and block others<br/>- Feel safe by Reporting those who make you feel unsafe<br/>- Make it easier to meet by sharing your location<br/>- Chat with people around the world,,Social,,,,,y,gay,
262,Guys Only Dating: Gay Chat,1.1.0,119.0,GuysOnlyDating is here to bring new happiness into your life. Our action-packed gay chat & dating app will let you discover gay bi trans and queer people you’ll utterly adore. It’s upfront and truly outstanding! <br/>Meet millions of guys check out gorgeous profiles and connect in an instant. We aim to be the biggest AND best gay chat app out there! Join us for a safe engaging and joyful experience. <br/>Get our versatile and well-built app today: <br/>🌈 EVERYTHING IS POSSIBLE<br/>GuysOnlyDating is here for everything – chat flings relationships romance friends and curiosity! There’s somebody for everyone whether you’re at home or travelling around the world. <br/><br/>✌ EMPOWERING COMMUNITY<br/>We want you to feel safe fulfilled & hassle-free. Your privacy and wellbeing is our passion. That means easy blocking verified profiles 24/7 support & NO banner adverts or spambots. Get the freedom to discover!<br/><br/>🔍 SEARCH BEAUTIFULLY<br/>No matter what you seek you can do a super-fast search using the most potent filters. Find someone who shares your interests!<br/><br/>⚡ DATE THE POPULAR WAY<br/>We want you to meet someone truly electrifying! That’s why we included Popular Members – your way to quickly spot standout guys with the wow factor. Find matches marked with lightning go premium & say hi!<br/><br/>➜ GO PREMIUM TO EXPERIENCE MORE<br/>-	Unlimited messaging with regular members.<br/>-	Advanced communication with popular members.<br/>-	Includes credits for private photos & other premium features.<br/><br/>➜ ESSENTIAL SUBSCRIPTION DETAILS<br/>-	Subscribe to chat with other members via this app.<br/>-	Premium lets you chat with all regular members at no extra cost and try advanced communication with popular members.<br/>-	Your Google Play account will be charged once you confirm your purchase.<br/>-	You can also purchase additional credits to continue using advanced communication features.<br/>-	We NEVER use automatic renewal to charge you unexpectedly via this app. <br/>-	You will be invited to renew once your current subscription period ends. <br/>-	Only suitable for guys 18+ years. Photos with nudity or sex acts strictly prohibited.<br/><br/>Try GuysOnlyDating – go get him!,,Dating,,,,,y,gay,
263,GuySpy: Gay Dating and Chat App,4.13.3,4335.0,GuySpy is the gay dating app where you can exchange video voice or chat messages with gay and bi curious men near you for FREE. View guys on the map and get ready to chat date or meetup. Whether you’re looking for a relationship or some fun GuySpy is the gay dating app for you! Thousands of hot and sexy guys are waiting for you so don’t waste any more time and try it now for free. <br/><br/>If you are looking to chat date or meet with hot gay men or bisexual guys near you download our dating app and get these great free features: <br/><br/>• Check out sexy gay men in your area and other locations.<br/>• Private Photos - Share your private photos with only the guys you want.<br/>• Exchange unlimited pics and videos through chat with other hot gay guys.<br/>• Send unlimited chat and voice messages.<br/>• Get notified when your favorite guys come online.<br/>• Manage your notifications - get notified only when you want to.<br/>• Send your location whenever you are ready to meet him for a date.<br/>• Record a sexy voice greeting to boost your profile views. <br/>• Add guys you chat with to your buddy list.<br/>• Add sexy guys you find to your favorite list.<br/>• Cruise new profiles of hot gay men from all over the world. <br/><br/>Are you ready to date or meet gay men near you? Just create your profile and personalize your search options to find YOUR type of guy. It’s that simple! Within minutes you will be getting ready to chat meet or go on your first date with sexy gay guys.<br/><br/>Want even more amazing features? We got you covered! With GuySpy+ you will be able to enjoy more features and have tons of fun! GuySpy+ features include:<br/><br/>• Browse anonymously - Check out hot guys without leaving a trace.<br/>• Get VIP access to the newest nearby gay guys. <br/>• Select who can view your profile.<br/>• No banner ads. <br/>• See who checked you out.<br/>• See who added you as a favourite.<br/>• See who liked your photos.<br/><br/>Chatting dating and meeting up has never been easier! Come and join GuySpy where we have the hottest and sexiest gay and bisexual guys no matter what you are into: discreet jock twink daddy leather college muscle bisexual trans curious bear geek. You will be able to also find whatever you are looking for: relationship date friends fun nsa m4m. GuySpy is brought to you by the developers of Squirt.org.<br/><br/>Your opinion matters to us so please tell us what you think about GuySpy by going into Menu -&gt; Feedback-&gt; Enter your idea.<br/><br/>If you are experiencing any technical difficulties please contact our customer support team at support@guyspy.com<br/><br/>The GuySpy privacy policy is available at: http://www.guyspy.com/privacy-policy/<br/>The GuySpy user agreement is available at: http://www.guyspy.com/user-agreement/<br/><br/>Follow us on Facebook: @guyspy.gay.dating.apps<br/>Follow us on Twitter: @guyspyapp<br/>Follow us on Instagram: @guyspyapp<br/>Check out our YouTube channel: GuySpy,,Dating,,,,,y,gay,
265,GYM - Gay Chat & Dating,2.0.0,8.0,Meet gay men into fitness the gym sports and working out - but also into dating connecting chatting meeting for fun and dates.<br/><br/>Find all kinds of gay men in the area or nearby looking to connect with fit guys like you.  <br/><br/>Browse Search Send Messages Follow Hot List and Create Posts all unlimited and free.<br/><br/>Create Events for other Gay GYM Members.  Share Selfies offer Services like Personal Training and other athletic services.<br/><br/>Install free GYM Chat today and get connected with a guy near you.,,Social,,,,,y,gay,
270,Her - Lesbian Dating App,3.9.3,9225.0,Join over 5 million lesbian bisexual and queer people on HER - the world's largest and most loved free dating app for LGBTQ women. <br/><br/>So much more than 'swipe right' apps or a dating app for lesbians HER is built by and for lesbian & queer womxn. We share LGBTQ+ news all the lesbian and queer events taking place in your area and have smaller community groups so you can meet others in a safe group chat.<br/><br/>HER hosts parties and socials in 15 cities across the world (from London to LA to New York) so download the app to find out when the next one is happening near you and get exclusive discounts on tickets. <br/><br/>Dowload HER to join a community of people who believe in LGBTQ+ equality and empowerment. Whether you're here for a girlfriend or partner to meet the love of your life your person for a great date or your next friendship group the HER community is a welcoming and supportive one. We'd love to welcome you to our space. <br/><br/>- FRIENDLY FUN & SAFE: These are the words our community use to describe us.<br/>- FREE: all of our core features are completely free. View profiles get matches add friends start chats view events join communities. <br/>- UPGRADE FOR EXTRAS: If you're looking for an upgraded experience you can subscribe to HER Premium to see who's online now filter by sexuality and so much more.,,Social,,,,,n,lesbian,
274,Hily Dating App: Meet New People & Enjoy streaming,3.2.8,50254.0,Hey friend! 👊   Looks like you’ve just discovered Hily in your app store! Well mark your calendar because today is your day. It’s the day when a new chapter of your life begins — a chapter full of romance fun and interesting conversations! 🥳<br/><br/>You might think: “There are plenty of dating apps so why is Hily ‘the one’?” Glad you asked. <br/><br/>- Good old dating — meet single people and form meaningful connections with them<br/>- Stream your heart out — express yourself find like-minded people and make new friends<br/>- Find your soul-streamer-mate — it’s the best way to meet someone who’s perfect for you<br/><br/>So you might think: “That sounds cool — and pretty easy too. Let me install Hily real quick”. But we’d tell you: “Wait a sec we’re just getting started”.<br/><br/>Video Calls — get to know the real person behind their profile. If you don’t feel like meeting in real life just yet you can have an online date right in the app!<br/>Compatibility Quiz – created by leading American psychologists Hily Compatibility Quiz analyzes your personality to help you find your perfect match  <br/>Live Support — if you have any questions or concerns send a message to our customer support through Hily messenger and we’ll sort it out as soon as possible.<br/>Security — every user goes through human moderation and profile verification<br/><br/>Then you’d say: “Okay sold I’ve already installed it. What do I do next?” No worries we got you. Here’s a step-by-step tutorial for you ⭐️<br/><br/>- Instal Hily and create a profile. Set your search criteria and start looking for whatever you’re looking for — love relationships friends or just some fun<br/>- Check out the profiles of other users in Finder. Once you both like each other you’ll be able to chat<br/>-To add a Story open the Stories & Streaming section press Add hold the button to record a video and release it when you’re done<br/>- To start a Live Stream visit the Stories & Streaming section and go live.<br/><br/>You might say: “Honestly I’ve got no time for just chatting and hanging out. I want to find the love of my life as soon as possible and I’d do anything to make it happen”. And we’d say: “Hey we get it! That’s why we created Hily Premium — the best way to make your search super fast and easy”. 🏆<br/><br/>Rollbacks — undo accidental skips and never miss your chance <br/>Filters — find exactly who you’re looking for<br/>Incognito mode — only be visible to your matches.<br/>Chat requests — send the first message even before matching<br/>No Ads — so that nothing distracts you from chatting streaming or dating.<br/><br/>Are you still here? Stop wasting your time! Go on Hily meet new people or start a live stream. Your soulmate is already waiting for you on Hily.<br/><br/>👀 Stay in touch with us!<br/><br/>To learn more go to Hily website  https://hily.com<br/>To share your experience with Hily share your feedback at apps@corp.hily.com<br/>Also take a look at the Terms of Service at https://hily.com/terms<br/>and Privacy Policy at https://hily.com/privacypolicy,,Dating,,,,,y,,
275,HIM - Gay Dating & Chat,1.2,20.0,Tired of disappointing hookups and manhunts? Looking for fun bars where Mr. Right is hanging out? HIM is your answer!<br/>HIM knows you best. It is the ultra-popular mobile app among the gay men. HIM can help you find what you looking for no matter you are leather bear jack or muscled hunk etc.. It is a simple and interesting app for dating socializing and making friends with homo bi and other guys. You can meet new friends and soulmates anytime and anywhere. Besides you can also hookup with singles around the world. Use the “Swipe Right” feature to like someone use the “Swipe Left ”feature to pass If someone likes you back It’s a Match!<br/><br/>HIM displays the best men for you. Let us create an exclusive LGBT place for ourselves And the sky of city has blued now. <br/><br/>Our life will be blued with HIM.<br/>Come here to meet more LGBT people.<br/><br/>Note: HIM only allows males 18 years or older. Photos depicting nudity or sex acts are strictly prohibited.,,Lifestyle,,,,,y,gay,
277,HOLE — the gay dating app,1.1.183,170.0,Open HOLE and you are one tap away from dating with some handsome gay men nearby or making some gay friends in your neighbourhood. After you publish your request the app will show people near you wishing to meet right now. When you like someone who likes you back the app gives you one hour to get to know each other chat and decide where to meet. Quick and simple.<br/>Chat dating relationship – choose what you want.<br/><br/>You must be at least 18 years of age to access and use HOLE.<br/><br/>HOLE's Privacy Policy: https://soulplatform.com/legal/HOLE/policy <br/>HOLE's Terms and Conditions: https://soulplatform.com/legal/HOLE/terms<br/><br/>You like that? Leave us a 5* review :<br/>Thoughts -&gt; feedback.HOLE@soulplatform.com,,Dating,,,,,y,gay,
279,Hookup Dating X,1,554.0,Hookup Dating X is a dating app that helps you find new matches based on your search and its 100% FREE. This is why it the best hookup dating app today!<br/><br/>* Check out singles around you and local matches<br/>* View photos and other info about your match<br/>* Browse the Discover tab to see who is online<br/>* You can Send and receive unlimited messages for FREE anytime<br/><br/>Get started today with the fastest of the hookup dating apps!,,Lifestyle,,,,,y,,
280,Hookup: Casual Dating Flirt app - Hook up Nearby,2.4,1651.0,Are you in search of no strings attached casual dating app for fun hookups?<br/>Do you want to easily meet local singles with a free flirting app?<br/><br/>💋<br/><br/><b>Meet Hookup: Casual dating flirt app. Our casual date hookup finder app connects adult singles for quick chat flirt or meetup nearby. </b><br/><br/>💋 <br/><br/>Experience interesting people in our casual dating hookup app at your location who also are looking for flirting chatting dating casual relationships or those who seek a girlfriend or boyfriend or even life companion. Compared to most hook up apps our flirt hookup casual dating has these unique features:  <br/><br/>▶ Find nearby casual dates in our hookup single dating site 💓 <br/>▶ Discreet meet up for one-night stand or just dating with singles around me with our hookup app 💘<br/> ▶ Private flirt conversations with adults nearby 💕 <br/>▶ Interesting chats with local singles nearby your location 💖  <br/><br/>Unlike other near me dating & hookup apps for us a hookup doesn't mean a one-night stand but a truly stress-free dating experience by meeting new people with similar interests on our casual encounters section of the hookup app. Nearby dating doesn’t need to be complicated and our hook-up dating interface and unique matching technology prove that.  <br/><br/>Casual dating is a discreet way to meet new people nearby as there is absolutely no commitment and our hookup app members know and value that.  <br/><br/>Our hookup app lets your preference be known choose your age and whether you want to date and meet young middle-aged or senior members of our dating platform. <br/><br/><b>HOW IT WORKS:</b><br/>1. tell us your age gender preferences & put a profile photo<br/>2. tell us the distance to which you want us to show you local singles<br/>3. swipe left for matches you don’t like or swipe right for matches you like. Once both of you swiped right you can start flirting and chatting.<br/><br/>  We take your previous likes and matches into account and our algorithm knows whether your preference is to match with curvy BBW slim or even fitness models. And we are one of the best dating apps that will let you find exactly what you need.<br/><br/>  Our app takes sex and sexual orientation into account when you are looking for that someone special in our singles community so you know you will be matched with trans straight gay lesbian or bisexual members looking for casual dating hook-ups. Just tell determine your preferences prior to making a search and get casual dates suggestions and matches that will skyrocket the excitement and passion.<br/><br/>  Our attractive <b>singles construct from members in all life situations</b> single mom single dad those who seek marriage companionship friendship or life-lasting romance. Often there are people who are up for just flirt dating and no strings attached casual relationship.   <br/><br/>Hookup just wants to provide you with a safe no-pressure way to find a little excitement in your single days by enabling you easy nearby dating.  <br/><br/>We love traveling and the traveler members of our casual dating app therefore our casual near me dating app is the <b>true destination when seeking adventurous singles</b>! When you move to a new location and start using the hookup dating app you will be matched to local singles in your new location to enjoy fun online dating with you! You no longer need to wander around unknown places searching for bars and places to meet local singles that don’t interest you!   <br/><br/>We value your privacy and your private life is always private! Use and <b>date anonymously</b> by logging in with a username instead for true no strings attached experience.  <br/><br/>What are you waiting for? Adults nearby are waiting for you to join our casual dating site app!<br/><br/>🔥 <b>Download our hookup finder & nearby dating app now for FREE!</b>,,Dating,,,,,y,"trans, straight, gay, lesbian, or bisexual members",
